USER          PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
scottkellar 88104 s093    5.1 S    31T   0:00.02   0:00.02 /var/fo 88104 S    /var/folders/4v/r7dmc5gn00l0f70jj65h4w0c0000gn/T//hive-terminal-b20.My4JMh/build-arm64/arm64-apple-macosx/debug/HiveTerminalB20Probe
            88104         0.4 S    31T   0:00.00   0:00.00         88104 S
            88104         0.5 S    31T   0:00.00   0:00.00         88104 S
            88104         0.0 S    31T   0:00.00   0:00.00         88104 S
            88104         0.0 S    31T   0:00.00   0:00.00         88104 S
            88104         0.0 S    31T   0:00.00   0:00.00         88104 S
            88104         1.3 S    31T   0:00.00   0:00.00         88104 S
            88104         0.0 S    31T   0:00.00   0:00.00         88104 S
            88104         0.0 S    54R   0:00.00   0:00.00         88104 S
            88104         1.3 S    31T   0:00.00   0:00.00         88104 S
            88104         0.0 S    31T   0:00.00   0:00.00         88104 S
            88104         0.1 S    31T   0:00.00   0:00.00         88104 S
