USER          PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
scottkellar 99653 s118   14.2 S    31T   0:00.02   0:00.08 /var/fo 99653 S    /var/folders/4v/r7dmc5gn00l0f70jj65h4w0c0000gn/T//hive-terminal-b20.m8JNwV/build-x86_64/x86_64-apple-macosx/debug/HiveTerminalB20Probe
            99653         0.0 S    31T   0:00.00   0:00.00         99653 S
            99653         3.0 S    31T   0:00.01   0:00.01         99653 S
            99653         0.9 S    31T   0:00.00   0:00.00         99653 S
            99653         0.0 S    31T   0:00.00   0:00.00         99653 S
            99653         0.1 S    31T   0:00.00   0:00.00         99653 S
            99653         0.0 S    31T   0:00.00   0:00.00         99653 S
            99653         0.0 S    31T   0:00.00   0:00.00         99653 S
            99653         2.7 S    31T   0:00.00   0:00.01         99653 S
            99653         0.3 S    31T   0:00.00   0:00.00         99653 S
            99653         0.0 S    54R   0:00.00   0:00.00         99653 S
            99653         0.0 S     4T   0:00.00   0:00.00         99653 S
