USER          PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
scottkellar 40473   ??   15.2 S    31T   0:00.02   0:00.08 /var/fo 40473 S    /var/folders/4v/r7dmc5gn00l0f70jj65h4w0c0000gn/T//hive-terminal-b20.frV8ii/build-x86_64/x86_64-apple-macosx/debug/HiveTerminalB20Probe
            40473         0.0 S    31T   0:00.00   0:00.00         40473 S
            40473         0.8 S    31T   0:00.00   0:00.00         40473 S
            40473         1.3 S    31T   0:00.00   0:00.00         40473 S
            40473         1.5 S    31T   0:00.00   0:00.00         40473 S
            40473         0.0 S    31T   0:00.00   0:00.00         40473 S
            40473         0.0 S    31T   0:00.00   0:00.00         40473 S
            40473         0.0 S    31T   0:00.00   0:00.00         40473 S
            40473         2.8 S    31T   0:00.00   0:00.01         40473 S
            40473         0.3 S    31T   0:00.00   0:00.00         40473 S
            40473         0.0 S    54R   0:00.00   0:00.00         40473 S
            40473         0.0 S     4T   0:00.00   0:00.00         40473 S
            40473         0.1 S    31T   0:00.00   0:00.00         40473 S
