USER          PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
scottkellar 54261   ??    4.8 S    31T   0:00.01   0:00.02 /var/fo 54261 S    /var/folders/4v/r7dmc5gn00l0f70jj65h4w0c0000gn/T//hive-ghostty-foundation.PFPMto/build-arm64/arm64-apple-macosx/debug/GhosttyManualIsolationProbe
            54261         0.3 S    31T   0:00.00   0:00.00         54261 S
            54261         0.2 S    31T   0:00.00   0:00.00         54261 S
            54261         0.0 S    31T   0:00.00   0:00.00         54261 S
            54261         0.0 S    31T   0:00.00   0:00.00         54261 S
            54261         0.4 S    31T   0:00.00   0:00.00         54261 S
            54261         0.0 S    31T   0:00.00   0:00.00         54261 S
            54261         0.0 S    54R   0:00.00   0:00.00         54261 S
            54261         1.3 S    31T   0:00.00   0:00.00         54261 S
            54261         0.0 S    31T   0:00.00   0:00.00         54261 S
            54261         0.0 S    31T   0:00.00   0:00.00         54261 S
