USER          PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
scottkellar  4593   ??    0.4 S    31T   0:00.02   0:00.07 /var/fo  4593 S    /var/folders/4v/r7dmc5gn00l0f70jj65h4w0c0000gn/T//hive-ghostty-foundation.QQRcEF/build-x86_64/x86_64-apple-macosx/debug/GhosttyManualIsolationProbe
             4593         0.0 S    31T   0:00.00   0:00.00          4593 S
             4593         0.0 S    31T   0:00.00   0:00.00          4593 S
             4593         0.0 S    31T   0:00.00   0:00.00          4593 S
             4593         0.0 S     4T   0:00.00   0:00.00          4593 S
             4593         0.0 S    31T   0:00.00   0:00.00          4593 S
             4593         0.0 S    31T   0:00.00   0:00.00          4593 S
             4593         1.5 S    31T   0:00.00   0:00.02          4593 S
             4593         0.0 S    31T   0:00.00   0:00.00          4593 S
             4593         0.0 S    54R   0:00.00   0:00.00          4593 S
             4593         0.0 S    31T   0:00.00   0:00.00          4593 S
             4593         0.0 S    31T   0:00.00   0:00.00          4593 S
             4593         0.0 S    31T   0:00.00   0:00.00          4593 S
