2026-07-19T03:06:23.628Z B2.2 live proof home: /tmp/hive-b22-proof
2026-07-19T03:06:23.628Z transcript: /tmp/hive-b22-proof/b22-proof-transcript.log
2026-07-19T03:06:23.731Z broker live (pid 8551) at /tmp/hive-b22-proof/runtime/sessiond/broker.sock
2026-07-19T03:06:23.814Z daemon live in-process on port 43117
2026-07-19T03:06:23.885Z agent row inserted: aria → ses_019f7856-d30a-701c-859a-61b7101cbfe0 generation 1
2026-07-19T03:06:24.052Z session created: hostPid=8601 provider=8616
2026-07-19T03:06:24.052Z launch the Workspace now:
  /Users/scottkellar/Projects/hive/.hive/worktrees/fabian/workspace/.build/debug/HiveWorkspace --project /Users/scottkellar/Projects/hive/.hive/worktrees/fabian --port 43117 --instance-id a2f2606df6 --instance-home /tmp/hive-b22-proof --hive /tmp/hive-b22-proof/hive-cli --orchestrator-session hive-b22-orch
2026-07-19T03:06:24.052Z proof descriptor written for opt-in live tests: /tmp/hive-b22-proof/b22-proof.json
2026-07-19T03:06:24.052Z proof stack is up — Ctrl-C to tear down
2026-07-19T03:06:29.161Z visibility renewed until 2026-07-19T03:06:44.158Z
2026-07-19T03:06:34.169Z visibility renewed until 2026-07-19T03:06:49.166Z
2026-07-19T03:06:39.164Z visibility renewed until 2026-07-19T03:06:54.162Z
2026-07-19T03:06:44.169Z visibility renewed until 2026-07-19T03:06:59.166Z
2026-07-19T03:06:49.170Z visibility renewed until 2026-07-19T03:07:04.167Z
2026-07-19T03:06:54.133Z visibility renewed until 2026-07-19T03:07:09.130Z
2026-07-19T03:06:59.168Z visibility renewed until 2026-07-19T03:07:14.165Z
2026-07-19T03:07:04.168Z visibility renewed until 2026-07-19T03:07:19.166Z
2026-07-19T03:07:09.170Z visibility renewed until 2026-07-19T03:07:24.168Z
2026-07-19T03:07:14.178Z visibility renewed until 2026-07-19T03:07:29.176Z
2026-07-19T03:07:19.186Z visibility renewed until 2026-07-19T03:07:34.184Z
2026-07-19T03:07:24.140Z visibility renewed until 2026-07-19T03:07:39.137Z
2026-07-19T03:07:29.171Z visibility renewed until 2026-07-19T03:07:44.168Z
2026-07-19T03:07:34.178Z visibility renewed until 2026-07-19T03:07:49.176Z
2026-07-19T03:07:39.177Z visibility renewed until 2026-07-19T03:07:54.175Z
2026-07-19T03:07:44.136Z visibility renewed until 2026-07-19T03:07:59.133Z
2026-07-19T03:07:49.182Z visibility renewed until 2026-07-19T03:08:04.179Z
2026-07-19T03:07:54.146Z visibility renewed until 2026-07-19T03:08:09.142Z
2026-07-19T03:07:59.185Z visibility renewed until 2026-07-19T03:08:14.183Z
2026-07-19T03:08:04.203Z visibility renewed until 2026-07-19T03:08:19.200Z
2026-07-19T03:08:09.185Z visibility renewed until 2026-07-19T03:08:24.183Z
2026-07-19T03:08:14.160Z visibility renewed until 2026-07-19T03:08:29.157Z
2026-07-19T03:08:19.186Z visibility renewed until 2026-07-19T03:08:34.183Z
2026-07-19T03:08:24.151Z visibility renewed until 2026-07-19T03:08:39.148Z
2026-07-19T03:08:29.189Z visibility renewed until 2026-07-19T03:08:44.187Z
2026-07-19T03:08:34.186Z visibility renewed until 2026-07-19T03:08:49.183Z
2026-07-19T03:08:39.182Z visibility renewed until 2026-07-19T03:08:54.179Z
2026-07-19T03:08:44.195Z visibility renewed until 2026-07-19T03:08:59.193Z
2026-07-19T03:08:49.228Z visibility renewed until 2026-07-19T03:09:04.225Z
2026-07-19T03:08:54.160Z visibility renewed until 2026-07-19T03:09:09.157Z
2026-07-19T03:08:59.199Z visibility renewed until 2026-07-19T03:09:14.196Z
2026-07-19T03:09:04.201Z visibility renewed until 2026-07-19T03:09:19.199Z
2026-07-19T03:09:09.191Z visibility renewed until 2026-07-19T03:09:24.189Z
2026-07-19T03:09:14.202Z visibility renewed until 2026-07-19T03:09:29.200Z
2026-07-19T03:09:19.203Z visibility renewed until 2026-07-19T03:09:34.201Z
2026-07-19T03:09:24.168Z visibility renewed until 2026-07-19T03:09:39.164Z
2026-07-19T03:09:29.201Z visibility renewed until 2026-07-19T03:09:44.198Z
2026-07-19T03:09:34.170Z visibility renewed until 2026-07-19T03:09:49.168Z
2026-07-19T03:09:39.205Z visibility renewed until 2026-07-19T03:09:54.202Z
2026-07-19T03:09:44.206Z visibility renewed until 2026-07-19T03:09:59.204Z
2026-07-19T03:09:49.209Z visibility renewed until 2026-07-19T03:10:04.206Z
2026-07-19T03:09:54.173Z visibility renewed until 2026-07-19T03:10:09.170Z
2026-07-19T03:09:59.208Z visibility renewed until 2026-07-19T03:10:14.206Z
2026-07-19T03:10:04.218Z visibility renewed until 2026-07-19T03:10:19.216Z
2026-07-19T03:10:08.238Z shutting down (SIGINT)
2026-07-19T03:10:10.398Z session terminated: {"locator":{"schemaVersion":1,"instanceId":"a2f2606df6","subject":{"kind":"agent","agentId":"agent-aria"},"generation":1,"sessionId":"ses_019f7856-d30a-701c-859a-61b7101cbfe0","hostKind":"sessiond","e
